sha256	copies	bytes_each	wasted_bytes	source	locations
282af9100346f8596d0ebedaf4d908c0375972e6dc0c0bbfcd74ac3b1d6ff3ee	5	224606	898424	fileadmin/s-maj/images/BilderMaja/2008soldierErico/headf5.jpg	hidden/sculptural-work/recent-sculptures/headf5.jpg | live/sculptural-work/soldier/headf5.jpg | hidden/sculptural-work/sculptures/headf5.jpg | hidden/sculptural-work/installations/headf5.jpg | hidden/recent-work/sculptures/headf5.jpg
e444d58ca54f2a51d504a8e3b09d4d8215603f75b63a8583d644b9c23403777a	5	212396	849584	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-6.JPG	live/sculptural-work/affenbande/affe_s_-6.JPG | hidden/sculptural-work/affenbande/affe_s_-6.JPG | hidden/sculptural-work/hinwil/affe_s_-6.JPG | deleted/sculptural-work/sennhof/affe_s_-6.JPG | hidden/sculptural-work/hafenszene/affe_s_-6.JPG
476f38016b925df3be210267f1dc49496b03ab716ded60db2fbe5a359840c23c	5	193763	775052	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-1.jpg	hidden/sculptural-work/hinwil/affe_s_-1.jpg | live/sculptural-work/affenbande/affe_s_-1.jpg | hidden/sculptural-work/affenbande/affe_s_-1.jpg | deleted/sculptural-work/sennhof/affe_s_-1.jpg | hidden/sculptural-work/hafenszene/affe_s_-1.jpg
43da111c827c66a19638368a14c4e2b2b5f9b1a7f59d08f28f973facee1708e3	5	173057	692228	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-32.jpg	live/sculptural-work/affenbande/affe_s_-32.jpg | hidden/sculptural-work/affenbande/affe_s_-32.jpg | hidden/sculptural-work/hinwil/affe_s_-32.jpg | deleted/sculptural-work/sennhof/affe_s_-32.jpg | hidden/sculptural-work/hafenszene/affe_s_-32.jpg
a6eef1f786652e7e260c0cf4451142a94baa2d28e2784a6ffd1d41092f40f5c6	5	150959	603836	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-4.JPG	hidden/sculptural-work/affenbande/affe_s_-4.JPG | live/sculptural-work/affenbande/affe_s_-4.JPG | hidden/sculptural-work/hinwil/affe_s_-4.JPG | deleted/sculptural-work/sennhof/affe_s_-4.JPG | hidden/sculptural-work/hafenszene/affe_s_-4.JPG
b5f602ca1aeadd7dbf49f2afc8f1760f15d9ffc60a80caa0b8570d8c508dd76d	5	116880	467520	fileadmin/s-maj/images/BilderMaja/2020_Affenhorde/affe_s_-24.jpg	hidden/sculptural-work/hinwil/affe_s_-24.jpg | live/sculptural-work/affenbande/affe_s_-24.jpg | hidden/sculptural-work/affenbande/affe_s_-24.jpg | deleted/sculptural-work/sennhof/affe_s_-24.jpg | hidden/sculptural-work/hafenszene/affe_s_-24.jpg
bd3c093cc449d98338bfb20a388a4a29b1d364e591b65cdc076d80d6cd854133	5	11347	45388	fileadmin/s-maj/images/page/flame2.gif	live/uncategorised/design-2/flame2.gif | hidden/sculptural-work/recent-sculptures/flame2.gif | hidden/sculptural-work/sculptures/flame2.gif | hidden/sculptural-work/installations/flame2.gif | hidden/recent-work/sculptures/flame2.gif
d2772df1544b5aa89646e3bf36e6d8642a6a8a91cd32f8060871858ff6962fb7	4	793919	2381757	fileadmin/s-pf/images/Show/Badewanne_brennt.jpg	live/other-sites/pyrofessor/Badewanne_brennt.jpg | live/other-sites/pyrofessor/Badewanne_brennt.jpg | live/other-sites/unknown/Badewanne_brennt.jpg | live/other-sites/pyrofessor/Badewanne_brennt.jpg
a427972f768f22a139defdc49b24aaab72638e0c7715228bb2df6316d67c9f36	4	701346	2104038	fileadmin/s-maj/images/BilderMaja/2008juraBird/birdsHome.jpg	hidden/sculptural-work/recent-sculptures/birdsHome.jpg | hidden/sculptural-work/sculptures/birdsHome.jpg | hidden/sculptural-work/installations/birdsHome.jpg | hidden/recent-work/sculptures/birdsHome.jpg
d221b3476cd7d3f6c6a1fd1f1d5a1a6251483509c61f8449a50789c5afdf69cb	4	646715	1940145	fileadmin/s-maj/images/BilderMaja/2008juraBird/feet.jpg	hidden/sculptural-work/recent-sculptures/feet.jpg | hidden/sculptural-work/sculptures/feet.jpg | hidden/sculptural-work/installations/feet.jpg | hidden/recent-work/sculptures/feet.jpg
